timestamps,block_number,sender,to,amount0,amount1
1646516041,25622746,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x0E61A8fb14f6AC999646212D30b2192cd02080Dd,20612054,4924354891256933401
1646518939,25624001,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x6637F680667a4DDA486033751612f1777481Bc32,50254909,15854654958079219621
1646519229,25624142,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xB49bd8af7129d5DE2458B117640ba0E5eAF96bCe,40278225,12599799080536883504
1646519495,25624232,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x96923057019BE1BcaD70a11De30e890CC12E8A7d,6857217,2140961564704972744
1646521405,25625074,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xaCE27636E83aB7b828f3Ac9b5aB9c3e75B73A30b,31681089,10075454342813355323
1646526799,25627378,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x85db8E57272Cfb2F6798b4bFC4D4925C718570FB,5106583,947387805588054416
1646527397,25627667,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xf903b59c81780B110398C4E1B20de518e4e6e095,55751017368,9925368958027687324737
1646529463,25628540,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4F1aC46203655375842CEa24DC093782C399881C,168624990,33443496078156048920
1646530051,25628824,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xB7c0711761E9Ea9a9783b1EA6faBa1D4B99322bD,487721,98199185400580319
1646541962,25634000,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE6091b4AE90E148dB679A209F738d1C1885310C7,8672103552,2346219440811493517914
1646580719,25650897,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x6637F680667a4DDA486033751612f1777481Bc32,60531214,13406557944665523425
1646590402,25655360,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x0857c8038bD713ac0bE6c847ACF4042FB04F3E90,2271414893,559591283279663141737
1646590466,25655392,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x0857c8038bD713ac0bE6c847ACF4042FB04F3E90,18382228582,4526516956481803202017
1646591398,25655844,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xcd9D72e044C3F9f1e0b41FA67af53204bD27124e,2775868502,630374686534831575421
1646605526,25662361,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xf197dDA8215caa18084936317Cb801BD9099D5b1,13327690,2879399494993483677
1646608153,25663542,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xad5D5e7233cC6F457055Bf3f458e722ccC106EAe,4463935466,987841207153771781695
1646611466,25665118,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xDA29c084e89eE1CA416Cc283bD38F034f29C6062,311995652,77726699415049519121
1646613668,25666185,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x3d744b266031c1f57decC9620A6E718a01595841,2566355237,650269553609278439810
1646644218,25680248,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xd8Dab20bdF26C57Fd8B19DbAF784e3fA5C42757E,268106067,64632643587478850845
1646650630,25683289,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4b86F0d069d804f7a2aF62902c5FA49fe8A77600,6228869271,1482899819199284344793
1646661490,25688307,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x456ee3DFCc90dbeB1FB14f61241cF5FBFAC26663,198370648,46845665397847577124
1646666559,25690552,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x407A315B1284F84431351d37629963102ce3e5ff,303820698,71105836848987044239
1646669440,25691886,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x91CAFB70Ee9CD568E334458FAc31FAF0cca407B4,508252638,119675742518382089245
