timestamps,block_number,sender,to,amount0,amount1
1642689047,23949455,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,999999999999999000,999999999999999000
1643075500,24127818,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,3965467514775889391,3915231216059156213
