block_number,sender,to,amount0,amount1
23012332,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xA2f0a40CA553135f211078aD2bc45871a703A109,1015284966697063597,6114136350370848
23029854,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2Bea86656b5938414Bf75414E893489BC382e455,49671591513212844195,309301151653475698
23030295,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x62436132956DD23d1eaE33F276f1137473fd5ccF,198764937583630572265,1242796108939380240
23030695,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x17b7aFbe43503813E525bE9dEE970D6fafF75633,216877949553003652272,1370160946263745837
23037863,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x17b7aFbe43503813E525bE9dEE970D6fafF75633,210763382860837606858,1454967022446175737
23040794,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xd277f1153Ae4271D8c7FACd36e0776ccb0AB5E54,23264271214167438723,158966054093498024
23041686,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x3C931ABB0480206b2500f3BE38869AC8EB123871,22050481473391220821,150380961534857074
23044746,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x0CfC85B70a3DA922Ba10B84ac97C4f7e5B323EFC,13202085510481207832,89909648993133815
23054234,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1B7BF8dC6088aA724134397a3F292f1EeB3F0047,36157472470246540832,240819633112471819
23060209,0xf1c9881Be22EBF108B8927c4d197d126346b5036,0xf1c9881Be22EBF108B8927c4d197d126346b5036,18684860510424962141,121709277428212982
23062588,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x045779D02dF51ea2aFB59747f197e531c08832ca,32206213143925605004,211103305833738704
23069572,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9bDE27f18CA5E70157A0c05391Ed9F430a900762,3837886868695025884,25141541816997924
23070898,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x52a9F6C17E2E057eb90E41F351C06246ddFedbcb,30711856453440054335,197271476073731865
23073883,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x10782B785D5d3204233472b781a3d9AdAF32Af86,763999152716682797,4767308464285191
23073978,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4C28A4e73103a5AfF7DF4858ed474A05c3d873db,4364375461899065660,26784515222552838
23077261,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x497283D67069238ab3809376F84032085069AD02,6134231337426619646,39015514056669928
23079670,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x025a0C3714016A370d723BC28d304e800C62c7a6,952230463077877620,5855692479666921
23082241,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xB4670077B4D680595B15872d79dEe61Ffcb8b15d,318392999265884936721,1927892132593318318
23084301,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x69e0bdfD95E7492AF3eA89164D93ABd3E4Def762,53667399705060557776,315914057375863585
23084406,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x69e0bdfD95E7492AF3eA89164D93ABd3E4Def762,4107228988267161246,24177273007190091
23099680,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE98b3031f2A3FcC8B1175Ab93C48dE0541A76164,52547453768715360105,312832098931948300
23100609,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE98b3031f2A3FcC8B1175Ab93C48dE0541A76164,52384671404275239734,312020305663067281
