timestamps,block_number,sender,to,amount0,amount1
1644737910,24884437,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x64550bDBD9808Fb9E44E099ad460CBBAf65862E5,49848260033,38363039397
1644989669,24998700,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x337be27381af5Ee40690426D5fCd44a30560082C,9987417084,8081732867
1645012046,25008397,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x337be27381af5Ee40690426D5fCd44a30560082C,10130250816,7976708322
1645208138,25089364,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x6F489FaAB910286909a202c769632A253cb17F5f,30886220,28605764
1645484657,25209533,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xae022f74e2930fB50106AE0139eFf0CfafBa4a09,10591773179,13995453133
1647313867,25955036,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2B6D2B89B1f69bC57C9DBB7B192c8f4A7651B67b,77089122,130999013
1647466604,26017304,0xf1c9881Be22EBF108B8927c4d197d126346b5036,0xf1c9881Be22EBF108B8927c4d197d126346b5036,536817106,784859322
1647623329,26081838,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x768DeC0cdCCF66eF7036fB8d2cE6673b73F9eA13,58150573,86449467
1648152833,26318239,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xC04ED5171340291649D13b2baB4Eb63C1f728490,1967319646,2431993719
1648174351,26328206,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x64550bDBD9808Fb9E44E099ad460CBBAf65862E5,43025008478,53595907582
1648246956,26360386,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x445ce289b5a76282Ba235453F6151044f8DbADC2,69605004206,80276598566
1648250378,26361735,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xDCC195B41432453768Ff0A34dd5891f1848517FF,20025072504,23809502045
1648255054,26363859,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4356D38f4288A2382536169712029cbdb920394e,103730348,123560248
1648303207,26385202,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x30E3D3717130bEb8430Ba3161824Bd72fB31d944,1607870489,1817056209
1648345144,26404237,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xDCC195B41432453768Ff0A34dd5891f1848517FF,20810847430,23035323557
1648369157,26415558,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x53f03CBA42177e3286f3bd04984bB7aa313B524A,64944257,70449996
1649365871,26865630,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xb39D022eDF05C31e1981f4F4D8137dDa9C57CFaE,40969945,45300848
