timestamps,block_number,sender,to,amount0,amount1
1642813075,24006420,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x01E53424dC3aF05357527620bead189C6Fb2802a,429796487111547757349,168980788886804004
1642841466,24019608,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xEf01a6000cd7f7D2Ae8cfa381Ed7e75a4f1D6029,311082292030907549247,127652987651287922
1643019250,24101282,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x47d156f12Ba668BB3149d8d89e117F4B9d48A91d,1144891547565241104788,455451101291373165
1643067225,24123880,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xB7280520733f564d5B48f07105E7bc6D85cDec26,27387309222749240589883,10786276603844348310
1643200970,24186099,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x91cDA41a25057B30cd003Dde076Dc91F7a9cb6d9,2491820271722551926911,945108918237653257
1643241363,24204291,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xC97c80e7d2c14c571b215A86082799B00E76faA7,1606812828077278506325,601775706651121125
1643379421,24268008,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x87f845D66d10b053701b5B724701C690D80AA45b,624821547156299837437,223750494341502437
1643700809,24412731,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x92e8c440bd5Ae54C9d95CE5a4d3bC8151FdA63D8,126655871632914968032,42623724627193679
1643753946,24437305,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x93504F3535e4E4eb49321C6157b074DAE8C7Aa15,443049762123196484946,154324793849012659
1643757423,24438861,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xde778C034E96cCFCD0fCf5a5Bebf1f71daE07AaC,108808601919770139333,37639142617651163
1643903726,24506161,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x30f462a98f319968B8cD5E9605F984De7887Da45,534101117119710430244,170158779958350085
1643999728,24550258,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xB9dCdCf12322dee3164bcc08791625dec53d70b9,753244354901214242442,226511984098788992
1643999908,24550344,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xfB8D59C789D77C4c0AC95e164088914bc508654a,721773500542255990706,217048221621516208
1644063684,24579336,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x64011C20fB5Cb6Db8Ff094e114A492dff548f3B0,2457266821339174541302,736009375233264602
1644253815,24663640,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xd77386e3Fcc03d6D844A148C347479B92A446f2a,1737987278346812562894,462561903624197890
1644417920,24739061,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x30f462a98f319968B8cD5E9605F984De7887Da45,675362767022451035435,174355268732285454
1644625435,24832834,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x6E5f7Bd9B940287F6C9AE8A2Ecfb93224A09cba5,250803056235314458181,64289753052005103
1644853136,24936387,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xA2B33cE05f8ac6bA011F9e0aeb296BE4C1F54Bf7,1162080677010079769570,282984122853451380
1644975220,24991851,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x92e8c440bd5Ae54C9d95CE5a4d3bC8151FdA63D8,15701619453897767820,3342710211631392
1644975296,24991887,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x92e8c440bd5Ae54C9d95CE5a4d3bC8151FdA63D8,21763034518596977543,4632902343585816
1645019104,25011671,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x0433071a44C006288fd02E124dA9ec59DDDD78fc,2588783312765190595943,541280724413289749
1645092381,25044336,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x944D3b4D20c7d7c2420f8f71921b8D2184b9d0bB,478121699423124776676,97915755376959478
