timestamps,block_number,sender,to,amount0,amount1
1646514853,25622284,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x967Ef5D5214e1B5f8207069d8B7C9ec5CFb24818,1349211994644262127709,7616079578461122003
1646515939,25622729,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x0E61A8fb14f6AC999646212D30b2192cd02080Dd,9548656474661838488,4073908896737917
1646519253,25624154,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x499E0103Eaa679bC3095F36F4E21Aa91E20EC0cd,1659721832527235936459,1993435636411537212
1646519741,25624328,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x6637F680667a4DDA486033751612f1777481Bc32,15883317215355447090,19118020302798696
1646520909,25624832,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xf903b59c81780B110398C4E1B20de518e4e6e095,1013098960536302437356,1155457743750484074
1646526651,25627306,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x96923057019BE1BcaD70a11De30e890CC12E8A7d,375038784256622100,769288404062304
1646529531,25628572,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4F1aC46203655375842CEa24DC093782C399881C,703257916318388668,1327448408817597
1646530089,25628843,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xB7c0711761E9Ea9a9783b1EA6faBa1D4B99322bD,23677257092235902045,43754496273872489
1646532293,25629787,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4f49D938c3Ad2437c52eb314F9bD7Bdb7FA58Da9,1145134976694490680154,1478566167198132769
1646532723,25629996,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xad5D5e7233cC6F457055Bf3f458e722ccC106EAe,753929684332363135523,996157185449563291
1646534231,25630725,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xad5D5e7233cC6F457055Bf3f458e722ccC106EAe,766926015262229402093,989068622300774404
1646541468,25633761,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x283c5a8EdBaCb07D3F628a08aC13934d8BFE6Afa,51190749664367676826,75071292231946359
1646569983,25646238,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4b86F0d069d804f7a2aF62902c5FA49fe8A77600,1214905971499952919050,2312403478210740055
1646582701,25651752,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x0857c8038bD713ac0bE6c847ACF4042FB04F3E90,2715455115665693885251,4050181419848564139
1646590508,25655413,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x0857c8038bD713ac0bE6c847ACF4042FB04F3E90,576578243289189911353,890584538234838537
1646591672,25655977,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xcd9D72e044C3F9f1e0b41FA67af53204bD27124e,570562823507692565950,968599579717643270
1646613926,25666310,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x6799143065AfA906e64518AC86cC787b95B41c09,47478011652525227745,72383777240553824
1646679003,25696138,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x5f0Ff52DF8df2c5351c47b6711C33f36C5402909,6611734622690473180,11056499983456390
1646708104,25709427,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4eE6AE75Ac67cff1352307B5671E227d5e598133,84361464565763020348,116903858687955150
1646717712,25713713,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xc67178557c4E7F6656B4bD036930E4851798c32D,53879800137244479322,66733373449440975
