block_number,sender,to,amount0,amount1
23980678,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xd978f6AE3377C1A2Bd74741adA0398B7FE16BA01,23735065043970973566,15158865326886844931
24045985,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x0be0eCC301a1c0175f07A66243cfF628c24DB852,436787733289895349,278963062166099652
