timestamps,block_number,sender,to,amount0,amount1
1641502571,23415704,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xb3441422492864027Ba1E0CD16155e9fD7eFFd71,2369,31301843190351353191311
1641683503,23496838,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x5F99eF39A02c6Ee017A375a29A5FD0b9e5BcCd08,164,1526627566661270851150
1641980061,23627909,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xC339cb9F3e017B0c71e15804Bb7B1E23f3CE2eCC,126,996566057439050530045
1642382811,23808155,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xf8819dA929Dd8415a46D614F3a75987a1D76e3dc,5316,40981661255414780175769
1642739476,23973210,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9e2a04937ffd8B4329de2C45D82Bd352C13A2971,23,168220320648595463974
1643156598,24165719,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1488854bEaE0afb2d816E7F76a973738247eda3f,55,377509741343067611069
1643472229,24309277,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xAB799f9807cF7C35C74387A3C20f53971E4B3478,37,248779592008737315068
1646270667,25514383,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7835afED0713EA0b05d5Dcf4b39bcf9E9F82F4fb,63,272938538201511128944
1646660170,25687667,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x037dFD569DeFBC08aE28001159b4c49f6d006cfF,124,506995198627297279769
1648447840,26450312,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4a56B4f8445cD2F2Ce7F5d8DEA0ebAd6822f5761,200,609022247210429359927
1649352637,26859726,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8f9De5868AcE79B6a51d87C5a3B05D10E93136e6,678,1800571104904842678235
