block_number,sender,to,amount0,amount1
25553026,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,25736854525570625226,219189068100117321212696105184
25714158,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,15067202332474601497,117449984264962732539839933982
25875271,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9817228987476152,71715072040837011661645911
