block_number,reseve0,reserve1,timestamps
17425151,10000,1000000000000000000000000,1627649055
17425219,10011,999000000000000000000000,1627649199
17425281,10062,994000000000000000000000,1627649327
17425516,12605,794000000000000000000000,1627649809
17425772,10015,1000000000000000000000000,1627650593
17426551,2,124859560544596992030,1627653479
