block_number,reseve0,reserve1,timestamps
19377969,10000000000000000,10000000000000000,1632297650
19377972,10525533544433951773,9529266668192,1632297656
24808380,241798558585220703,416030147323957,1644571976
24963399,362697837877831053,277631062611917,1644913162
25003242,544046756816746573,185272647722334,1645000320
25645397,598451432498421233,168475627646026,1646568185
