block_number,sender,amount0,amount1,timestamps
15278333,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,587192483262077911,87235249832144312,1622713639
15509909,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9785977219755019210,563786001689047764048,1623231154
15524747,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,50861663575194946,2666864019388856768,1623274859
