block_number,reseve0,reserve1,timestamps
23110590,100000000000000,999999999999999946,1640797533
23111640,44171788505657604,2270685042331922,1640799958
23116845,31753366048591933,3161399293107258,1640811685
24328166,5017104393895699,20059260497615328,1643514102
