block_number,owner,tickLower,tickUpper,amount,amount0,amount1,timestamps
24891873,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,31800,31980,3721641887121996818417,6800000000000000000,0,1644753899
24893417,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,31800,31980,273650138758970354295,500000000000000000,0,1644757253
