block_number,owner,tickLower,tickUpper,amount,amount0,amount1,timestamps
22883735,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-13800,-12600,263571447160833926386,14178669730150095452,4264660722078444175,1640298676
22883847,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-13800,-12600,223071517012938074578,12000000000000000000,3609360372935323427,1640298908
22884045,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-13800,-12600,1128478786211712897083,0,35000000000000000000,1640299316
23495818,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-13800,-12600,5487787547380025526213,722192784387592688,169999999999999999891,1641681399
23495847,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-13800,-12600,6456220643976500622650,849638569867756104,199999999999999999982,1641681457
