block_number,owner,tickLower,tickUpper,amount,amount0,amount1,timestamps
22844801,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-18200,-18000,84090552802636672581,1463159977762549995,100000000000000000,1640212877
22850039,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-19400,-13400,67414333589560390,35564251898385580,1607498287583930,1640224367
22859490,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-22000,-15200,226094787413202823,78226239729971402,15749160277751981,1640244397
22859512,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-25200,-14000,13144898274856819,6184693471644502,1562597541248576,1640244441
22864303,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-20200,-14000,177312836215387264,99999999999999993,4204408322421982,1640254973
22867032,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-12400,-10200,2582355361360654053,500000000000000000,0,1640261115
22867093,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-25800,-12000,88762140775422511,67068056885259186,10000000000000000,1640261241
22868467,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-138200,-8400,42684217272901339,45062906122347247,16516703952760441,1640264334
22869842,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-10800,-10400,294320093838449542,10000000000000000,0,1640267432
22869865,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-20200,-14000,63539642283330902,35834767318338630,1506639939452782,1640267478
22869882,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-20000,-17600,11267698862683825171,1880168316461055448,225932547832525150,1640267512
22870066,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-20200,-14000,20423779039469382,11518500000000000,484284772618176,1640267892
22870081,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-10600,-10000,199174483197055029,10000000000000000,0,1640267926
22870095,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-25800,-12000,13234637306889300,9999999999999999,1491022770662361,1640267954
22870109,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-20400,-14000,20007448500035648,11283699999999997,546920657760015,1640267982
22870112,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-20000,-17600,7253871407797714058,1210406788363129367,145449897870529483,1640267988
22870126,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-20200,-14000,20441376128668423,11528424317705721,484702031457739,1640268016
22873949,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-18400,-9800,11403825237756109693,10000000000000000000,0,1640276724
22874188,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-18400,-9800,11403825237756109693,10000000000000000000,0,1640277218
22876041,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-26000,-12400,27049042537818892626,20831810009004127181,2916437448913265941,1640281296
22909956,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-20400,-14200,41213411174604679,23257212584793397,1000000000000000,1640357838
23059548,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-20000,-17600,13708407884740091901,3050002252714937996,162526505739736976,1640687294
23065128,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-20000,-17600,88532936697315895275,19697813096652113837,1049644055332607518,1640698938
23232876,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-20000,-17600,1227858655524042269,226136043339064241,21443153391978887,1641064854
23299747,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-21800,-21000,231836698045736891967,13999999999999999998,1502015635326924880,1641212779
23300460,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-21800,-21000,25281916573262434614,8693909795585917,345836236931369553,1641214269
23300498,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-21800,-21000,1232664269110399062,423886849433771,16861853451401005,1641214349
23315474,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-22000,-20000,99855387594181695120,13949703491441206792,1700000000000000000,1641247835
25887165,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-138200,-8200,250222902004972,247522601784266,100000000000000,1647147286
25915008,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-138200,-8200,34368390835575368,33997501629931055,13735110000000000,1647219061
