block_number,owner,tickLower,tickUpper,amount,amount0,amount1,timestamps
22877162,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-242340,-161160,19333803943256253946636912,1999999999999999999977121944160,75623144881476318121,1640283813
22954219,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887220,887220,8315069199123496447989862,886415074182203384696913699581,78000000000000000000,1640455362
22955294,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887220,887220,16802381184735928499060014,5646400269543255750615113528716,50000000000000000000,1640457905
22955526,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887220,887220,12370542516083602407413442,6121212885689116349948240615060,25000000000000000000,1640458409
22955638,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887220,887220,18354458502163398759325339,13475445876304993282323686118257,25000000000000000000,1640458637
22955736,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887220,887220,29066738944377241955593739,33795012514420929208457483681452,25000000000000000000,1640458841
22955869,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887220,887220,41982890841774140004132361,70502524937286483104555589227800,25000000000000000000,1640459115
22956064,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887220,887220,83379164190386627232186630,231736167369546715160773648935396,30000000000000000000,1640459517
22956212,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887220,887220,55914066259040995493809151,208425520374652885065002664812757,15000000000000000000,1640459949
