block_number,owner,tickLower,tickUpper,amount,amount0,amount1,timestamps
25275315,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-10980,-6180,97949256513201841957,7888821623218543060,11328710495517564182,1645662596
25580286,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-13800,60,6261301333497740204367,2585912206031710988621,1300000000000000000000,1646418761
25611335,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-9900,-6180,29010392642922091691753,1789000000000000000000,2692303434996875902632,1646490120
25701218,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-10140,-6060,343131319086316896592,17235455393715720823,37700813632523575080,1646689757
25701305,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-10140,-6060,217590773665558779098,11255677385773294815,23742085380052218219,1646689935
25832015,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-9540,-5280,128111912248100236745,11936906811562768098,12304033065238432042,1647010978
25983612,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-15240,-1380,40580184919237297653,13458293941671140509,9981435254951091630,1647383881
26017354,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-15540,-1680,353562835971296930359,133154962169796317286,78897577341860613191,1647466730
26018295,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-15840,-1980,40371197793197759678,14720333839241235164,9201606214096648101,1647469254
26109364,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-8820,-6060,698118386119574486166,69074384329350104570,31346409404390391047,1647688697
26313120,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-9540,-5280,4145402286087880823,599592471998456850,292443371276151068,1648141248
26320255,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-8040,-6780,15628952495652768081605,692920354826247335823,338876166182676512296,1648157309
26320674,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-8040,-6780,10632983388382719929449,471420629398491215877,230550617307300562427,1648158175
26321033,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-8040,-6780,6239019491766414430408,276611218903195868402,135278100480302738582,1648158917
26364387,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7680,-7620,100515939156630989974614,0,205695743345248084747,1648256358
26422812,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-8040,-6780,130560236936313600357,5285083747359746031,3071661578314158859,1648384956
26495455,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-14460,-420,2812162241237392531984,1190569588317030387359,581916190245562853119,1648547212
26510782,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-8040,-6780,5786636010092255463808,251000000000000000000,128120693909263349693,1648581370
26510799,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-8040,-6780,2502407021417827253892,108543921076152303373,55405268876131267523,1648581440
26510826,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-8040,-6780,48398386001740635523,2099318993842024266,1071578510868273713,1648581548
26510848,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-8040,-6780,397685635256949782870,17249934897478197312,8805074218942327406,1648581638
26550103,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7440,-7380,99317015758637173945300,0,205695743345248084746,1648668345
26559936,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-8040,-6780,213369050533933762780,8955166251139243001,4867545559946403086,1648690388
26561609,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7680,-7620,98657343364730879557232,433848853776489860201,0,1648694113
26562021,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7860,-7800,97768981635059396976323,433829004475257577750,0,1648695089
26591105,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7740,-7080,39853030122896023914747,931795855462521610944,456343979135661955188,1648760780
26591152,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7740,-7080,19572973222005913053244,457631835549339527466,224123697899558081367,1648760874
26591202,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7740,-7080,19572973222005913053244,457631835549339527466,224123697899558081367,1648760978
26591295,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7740,-7080,20765017528091640853413,485502788912563085137,237773406347514864197,1648761168
26591330,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7740,-7080,20764493495359639795120,485490536606369565379,237767405820544110556,1648761242
26591368,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7740,-7080,20764115913875636612243,485481708447988418233,237763082258789167150,1648761322
26591419,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7740,-7080,20763591915298030498571,485469456940352086149,237757082122909189943,1648761424
26599674,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-8040,-6720,1198537516426217805069,54999999999999999999,27505563949574051938,1648779352
26617351,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7740,-6960,189390835755020657522643,4292000000000000000000,3008607730184539376881,1648817896
26617404,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7740,-6960,4536829736526331554570,100439431902055316394,73218229418635560456,1648818002
26620168,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-9060,-5580,90762447323240602835,10026696484156486027,5669417170706389570,1648824495
26620720,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-8040,-6720,425137080025463728913,13848209800631017443,12492205924123364744,1648825646
26622453,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-8040,-6720,118577451314653614882,4035447469705051438,3400000000000000000,1648829636
26698235,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7620,-7140,60064463576700273597258,1007962739514950989664,508845622753541425503,1648994519
26698301,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7620,-7140,4225580029988082988426,70910934177037456304,35797670932472795425,1648994655
