pool,token0,token1,block_number,timestamp
0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12369739,1620157956
0x6c6Bc977E13Df9b0de53b251522280BB72383700,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,12369760,1620158293
0x7BeA39867e4169DBe237d55C8242a8f2fcDcc387,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12369811,1620158865
0xCBCdF9626bC03E24f779434178A73a0B4bad62eD,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12369821,1620158974
0xC2e9F25Be6257c210d7Adf0D4Cd6E3E881ba25f8,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12369854,1620159368
0x7858E59e0C01EA06Df3aF3D20aC7B0003275D4Bf,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xdAC17F958D2ee523a2206206994597C13D831ec7,12369863,1620159478
0x886072A44BDd944495eFF38AcE8cE75C1EacDAF6,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12369879,1620159675
0xF83d5AaaB14507A53f97D3C18BDB52C4A62Efc40,0x23B608675a2B2fB1890d3ABBd85c5775c51691d5,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12369901,1620159876
0xD1D5A4c0eA98971894772Dcd6D2f1dc71083C44E,0x6DEA81C8171D0bA574754EF6F8b412F2Ed88c54D,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12369922,1620160120
0x6f48ECa74B38d2936B02ab603FF4e36A6C0E3A77,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xdAC17F958D2ee523a2206206994597C13D831ec7,12370078,1620162016
0xff2bDF3044C601679dEde16f5D4a460B35cebfeE,0x0cEC1A9154Ff802e7934Fc916Ed7Ca50bDE6844e,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12370088,1620162137
0x04916039B1f59D9745Bf6E0a21f191D1e0A84287,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12370239,1620164244
0x5598931BfBb43EEC686fa4b5b92B5152ebADC2f6,0xc00e94Cb662C3520282E6f5717214004A7f26888,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12370256,1620164375
0xea4Ba4CE14fdd287f380b55419B1C5b6c3f22ab6,0xc00e94Cb662C3520282E6f5717214004A7f26888,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12370351,1620165723
0xDc7B403e2e967EaF6c97d79316D285B8A112fDa7,0x956F47F50A910163D8BF957Cf5846D573E7f87CA,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12370396,1620166260
0x1470ee019F673d0a4ec2c7Cd0322a8c17c4f1A61,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xDc2b82Bc1106C9c5286e59344896fB0ceb932f53,12370537,1620168375
0xbB2e5C2FF298FD96E166f90c8ABAcAF714Df14F8,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x956F47F50A910163D8BF957Cf5846D573E7f87CA,12370594,1620169433
0x8ad599c3A0ff1De082011EFDDc58f1908eb6e6D8,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12370624,1620169800
0x1C74Dde716D3f2a1dF5097B7c2543C5D97cfa4D3,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,12370687,1620170612
0xe8c6c9227491C0a8156A0106A0204d881BB7E531,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12371099,1620175942
0x8581788CEF3B7ee7313FEA15FE279Dc2f6c43899,0x6243d8CEA23066d098a15582d81a598b4e8391F4,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12371145,1620176780
0x14DE8287AdC90f0f95Bf567C0707670de52e3813,0x03ab458634910AaD20eF5f1C8ee96F1D6ac54919,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12371220,1620177708
0x0dc9877F6024CCf16a470a74176C9260beb83AB6,0x03ab458634910AaD20eF5f1C8ee96F1D6ac54919,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12371524,1620181858
0x151CcB92bc1eD5c6D0F9Adb5ceC4763cEb66AC7f,0xAa6E8127831c9DE45ae56bB1b0d4D4Da6e5665BD,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12372402,1620193312
0xcB0C5d9D92f4F2F80cce7aa271a1E148c226e19D,0x03ab458634910AaD20eF5f1C8ee96F1D6ac54919,0x6B175474E89094C44Da98b954EedeAC495271d0F,12375267,1620231914
0x4e68Ccd3E89f51C3074ca5072bbAC773960dFa36,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdAC17F958D2ee523a2206206994597C13D831ec7,12375326,1620232628
0x5aB53EE1d50eeF2C1DD3d5402789cd27bB52c1bB,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12375644,1620236624
0xa6Cc3C2531FdaA6Ae1A3CA84c2855806728693e8,0x514910771AF9Ca656af840dff83E8264EcF986CA,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12375680,1620237038
0x3FE55D440adb6e07fa8e69451f5511D983882487,0x30BCd71b8d21FE830e493b30e90befbA29de9114,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12375729,1620237603
0x60594a405d53811d3BC4766596EFD80fd545A270,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12375738,1620237823
0x2efeC2097beede290B2eED63e2FAf5ECbBC528FC,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf65B5C5104c4faFD4b709d9D60a185eAE063276c,12375752,1620237966
0x788f0399b9f012926e255D9F22ceea845b8f7a32,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf418588522d5dd018b425E472991E52EBBeEEEEE,12375778,1620238284
0xbb256c2F1B677e27118b0345FD2b3894D2E6D487,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xdAC17F958D2ee523a2206206994597C13D831ec7,12375837,1620239057
0x5447b274859457f11D7cc7131B378363bBee4E3A,0x86772b1409b61c639EaAc9Ba0AcfBb6E238e5F83,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12375847,1620239157
0x19E286157200418d6A1f7D1df834b82E65C920AA,0x6B3595068778DD592e39A122f4f5a5cF09C90fE2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12375874,1620239567
0xFAaCE66BD25abFF62718AbD6DB97560E414eC074,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xFca59Cd816aB1eaD66534D82bc21E7515cE441CF,12375885,1620239643
0x82bd0E16516F828A0616038002E152AA6F27AEdc,0x5d3a536E4D6DbD6114cc1Ead35777bAB948E3643,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12375890,1620239699
0x2A84E2BD2E961b1557D6e516cA647268b432cbA4,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,12375916,1620240133
0x32A2c4C25BABEdC810fa466ab0F0C742Df3A3555,0x63b4f3e3fa4e438698CE330e365E831F7cCD1eF4,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12375922,1620240175
0xeFbd546647FDA46067225bD0221e08bA91071584,0x17EF75AA22dD5f6C2763b8304Ab24f40eE54D48a,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12375929,1620240264
0x86E69D1AE728c9Cd229F07bBf34E01bF27258354,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf65B5C5104c4faFD4b709d9D60a185eAE063276c,12375947,1620240623
0x3482296547783CB714c49E13717cD163b2951ba8,0x61CEAc48136d6782DBD83c09f51E23514D12470a,0x6B175474E89094C44Da98b954EedeAC495271d0F,12375960,1620240784
0xAE614a7a56cB79c04Df2aeBA6f5dAB80A39CA78E,0x0D8775F648430679A709E98d2b0Cb6250d2887EF,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12375964,1620240807
0x2552018fA2768fD0Af10d32a4C38586A9BadE6CE,0x70401dFD142A16dC7031c56E862Fc88Cb9537Ce0,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,12375966,1620240827
0x07AA6584385cCA15C2c6e13A5599fFc2D177E33b,0x469eDA64aEd3A3Ad6f868c44564291aA415cB1d9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12375968,1620240854
0x3139bbbA7f4B9125595cB4eBeefdaC1fCe7Ab5f1,0x3155BA85D5F96b2d030a4966AF206230e46849cb,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12375969,1620240859
0x7DdC2C3d12A9212112e5f99602AB16C338ec1116,0x8eB24319393716668D768dCEC29356ae9CfFe285,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12375974,1620240931
0x3CEC6746Ebd7658F58E5d786e0999118Fea2905C,0x87d73E916D7057945c9BcD8cdd94e42A6F47f776,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12375977,1620240957
0x85498E26aa6b5C7C8aC32ee8e872D95fb98640c4,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xE2311ae37502105b442bBef831E9b53c5d2e9B3b,12375980,1620240982
0x5EB5dC3d8C74413834f1Ca65C3412f48cD1C67A6,0x9b00e6E8D787b13756eb919786c9745054DB64f9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12375982,1620241021
0x35815D67f717e7BcE9cc8519bDc80323ECf7d260,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12375991,1620241199
