pool_address,token_address,label,num_mints,num_burns,num_swaps,tx_curve,num_transactions,n_unique_addresses,avg_cluster_coeff,avg_transaction_value,difference_token_pool
0x6D2aC54Afdb95360cEA161da4e2EF53DC0e885db,0x6EEb61Fed9E1654d9065184E77c187aDC1d9222c,0,1,0,9,0.9821282479210707,12,7,0.0,0.1660048999092143,1006778
0xf6c40E9a1A2dcF6D424DDe10D10c02cdB08AaADd,0xF21917bC081aFEa1eC687508C374264D9F721477,0,1,0,7,0.12471349357320821,1000,583,0.006861084037370872,0.07006889244475734,7755581
0xd1bc9e396F51c11B65c5539e146075fe3bce1120,0x3a2F651bBbEABEF36412be01659B93D0c6F2bF1f,0,1,0,6,0.6509451479883596,37,13,0.2032967032967033,0.05195744457505267,194460
0xb5CD9502d6E6A22461E30800b965ACa65a160E92,0x3244476FADb6655285CD06E5586994537ef7c3D6,1,1,1,1,0.14513047281254535,693,51,0.3692689407222279,0.003972985836325956,6250816
0x28b9B5da3A4257B902C661140C818B0188800FBE,0x3bfE9F4e25ed2793610BD78aFe766871F62AA11c,0,1,0,16,0.9884491427491566,45,17,0.2155589508530685,0.022384293054062445,172837
0x9349a1ff373Fb7805f22C29e0CCfD931B317d4C5,0x8774fA8aAd6e217460026210C90E2Ef8AD11ca94,0,1,0,3,0.9999774805043347,83,5,0.39999999999999997,506017.89959697437,1110767
0x61266EE73dD28B005a28346Eb245415DF9A3c586,0xDE0E1F6Fd2B00E690A656817C2384ED171588F48,0,1,0,2,0.7931094363723952,10,8,0.0,0.2661513060979267,424290
0x1dcb3A19568Fa4F10Bd7773c8dCa3C01f46643Ae,0x53c86399Ed6deDDcDa58c184c0Db61FDfF7784b2,0,1,0,1,0.8738174660482104,11,9,0.13703703703703704,0.3642654965157878,9367
0x4905D16301348f8a9378FB35Fc8c892A785E4299,0x99A917545de0Cf424aa705Ba222E08788Ee181F2,0,1,0,2,0.9999934965276354,27,9,0.2592592592592593,0.07407410162352684,900684
0x9C06ea98A0aA17C149B8CA3E2fa74b1889971F32,0xb0F9Cb6Fe9ce344525F557D112fd82dc6CdE6f55,0,2,0,2,0.9999998834853299,27,9,0.14814814814814814,0.07407407840487254,954686
0x6A2A38598f18C00622DD0eFd76dD5BE9a1c4f43B,0x5423063af146F5abF88Eb490486E6B53FA135eC9,0,1,0,4,0.9218079143538629,41,26,0.051864801864801864,0.026052249120595592,440287
0xd59b60AB215Fd720Fd3C28eaf63dEd3b922a1cC7,0xB13238Bde6be750799CeC4c5bfdA61A7B38310dC,0,3,2,7,0.9844917978614576,38,8,0.6541666666666667,0.07880670118420835,0
0xcEc1ed056537835Ca55342183D5eBE329c853baE,0xcC9f1FcaB316c73Ad3c35C02d5220a4338be69Bf,0,3,0,9,0.755547595038311,15,6,0.5,0.1505880982751119,0
0x79F9C7A041d91d5909Ed327383E26242b55eD82D,0xb44d5e8055499d71BABEC798f89E8cFb9F2A9774,0,1,0,0,0.9880620000000001,3,4,0.0,0.33366666666666667,2327
0xF854CBc2582B0275dA0DC02341373Fb8b2764b4b,0xab3a9eA136dbBFBC1911fe73DdaC4dA7425a9c9f,1,1,0,4,0.2910871515037979,38,8,0.65,0.04695794799274346,1219
0x54a1bed0bbF7adD657987cC9222d5e2f315c8921,0x00cB8f9Ff8e1034047D33dD33F0535DBa2513e66,1,0,0,0,1.0,1,2,0.0,1.0,-77295
0x031F0bCeBda11BD135cF2F1e19f588D4955DbEa9,0x080063b28E79C7D130E9bB55F5f93134354c4d62,0,1,0,12,0.9996078492433369,50,11,0.20909090909090908,0.020004089344103405,122
0xc3c738F8A8955b63e3878ae0faC415860D87E896,0x30E10b73D4A213518903aE97Bc14742410352118,1,0,0,0,1.0,1,2,0.0,1.0,0
0x9eCc6f8DF79a1C9C179e11a65A61A5ae653BD805,0x82Cc4F8a33Fb5898662Fa22A3F5bbCdd89750D3C,1,1,1,2,0.999971548008678,9,8,0.42083333333333334,0.1292428633655605,90
0x3AE31df20217c2dFAF7af4FBB97F6b1bbc95444F,0x5827901B63168C92c3047B166eCc35adacB28594,1,1,1,5,4.409609606646435,16,10,0.20714285714285713,0.13742519968987008,344
0x61a3403391669C57E29f482e4335bBabdA04E8f2,0xfAB848DD56a014c09B9F8a80cfCf5dB6153DaDE3,1,0,0,0,1.0,1,2,0.0,1.0,0
0x94b687518f078CB3272fc17CB5777FBf6E5F20a4,0xeD5eDF7E3EDED7b8F679C41010716BbeFA2056d4,1,0,0,0,0.0010342231954742005,6,6,0.0,0.16666666666666666,0
0xF6bf583aD4a1D8777D180416a454788F517A18E9,0xdE61923B4C94C55E90085F3FEEe4651Af1Db893c,0,2,0,6,0.7827379794088634,14,9,0.13703703703703704,0.1905886489902241,181069
0x309cDb1dF65e4A71d7550E814E02120479Dd9703,0xA29083e5E96a592b70E61baeCa7ca92895e848de,1,2,1,1,0.9999788626943391,5,3,0.0,0.27599788624709415,22
0x8F25f3a6bcDd0d6963a40CD0C8f11009Bb53739b,0xC0Fd9DfeE340Cd13a27ce370a02661d0FE11CeBD,0,1,0,2,0.15394944017408874,12,13,0.0,0.1550001705733885,4069673
0x448a2675Bee5BdFd9cDc5dAd3187bC30A8D9f7b8,0x84DAcA37777534630b61740DCb699413Da41dD75,1,1,1,0,1.0,4,4,0.5833333333333333,0.32125000000000004,12
0x91CB51fbDF1384F678463a23CB54A0F0eA8B9c53,0x7cC15fEf543f205Bf21018F038F591C6BaDa941c,1,1,1,0,0.3868985818038004,1000,137,0.1780412322955476,0.002215495918987565,8622
0x2652538962B4e7B3BEbD81eA1A377FAd45F0BAe3,0xbb71538BB1db7c2C8C5bD78D1b443e440b697d66,0,5,2,15,0.9999205047770693,29,7,0.39999999999999997,0.034485937851202686,5900
0x884BcCCF0d3cCa694e70F7EcC9b69824f2D60591,0x820F598f5203e2CDd2990cD9a21fE36247A404D7,0,1,0,1,0.44665,6,5,0.0,0.17666666666666667,680
0x0a1487b995F773bE1A6c094423Add1981F6AB886,0x05C8d88CE808B9843B680A847fE2A0B41E235252,0,1,0,4,0.4999316817916497,11,10,0.0,0.13637180049405057,2472
