pair,token0,token1,block_number,timestamp
0x13bd20ba647E2ed12622851F652a5267869A8c62,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0xe2Acf21ff697853453548DB0EFC524E116335acf,22763899,1640035352
0x531eB8f8E8e626cCFaB2BAA38d14A45096a50180,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xae20563403DDd9107eC5C7f2AbBc9864E2039Dc8,22766764,1640041518
0x103C0675054D31FD081f53a15FE108c5B2A2f456,0x2e2DDe47952b9c7deFDE7424d00dD2341AD927Ca,0xD6DF932A45C0f255f85145f286eA0b292B21C90B,22766858,1640041736
0x2d8Db3B54bc4c08B295816a30ad74b01109e4e9C,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x94C18174840F80D49d59DC3a1742aF0B884A8184,22773019,1640055739
0x61637f75DCecEc29e11D73Bfa3ac698Dd5Ef8a0f,0x71B821aa52a49F32EEd535fCA6Eb5aa130085978,0x94C18174840F80D49d59DC3a1742aF0B884A8184,22773160,1640056029
0xfA69bF4fA125ef9Cc74945EAc914150e5b3cF3E0,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xDF44cb429a57e51152AA4EF99B0119756C721FBF,22773434,1640056593
0xb874c2403391fc1571f778fb6fa9A909eb0E79b7,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xB8060D8fc453561Cfb1d30A6cA36FD3c7669472D,22778803,1640068358
0x4f414E6489fD19bBb50C1Bc6C403E19D0dC71Fd2,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xBf0eA60F6dbB35f9BfE9EA5b532B7795772Af541,22783327,1640078514
0x1A3713dE5Fe72EDe1f5aA08d563Da6c5D4Bc2b9e,0x9aFe6f40401509FbEc3ac261416052e9d416a3F2,0xa9C1740fA56e4c0f6Ce5a792fd27095C8b6CCd87,22784140,1640080320
0x53aDd4C98B2787f690042771Ca8E512a5793E9C9,0x2db0Db271a10661e7090b6758350E18F6798a49D,0x9fFFb2F49adFC231B44dDCFf3FfCF0E81b06430A,22784471,1640081002
0x46c692346CEDCF46C7c9002680E2645c8577EB3a,0x8174b243559BB4A2742B6c9b4c4f2070FFfCC467,0xcE62fE753e7D6b7480956a282E6854403e9D1A66,22785490,1640083232
0x99219f505BfffBE1A58fAF113eBc861b175E41f7,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,0xcc90c29600DD5E885fa88ad8685927F5D8d5AAd0,22786151,1640084722
0x47F4947a1b44F773EDb4520E170621edf40b2f05,0x6AE7Dfc73E0dDE2aa99ac063DcF7e8A63265108c,0x8C72f5dF6f4C2568DbaB0fc3Db64c388D542c770,22787349,1640087322
