block_number,amount0,amountIn,amountOut,sqrtPriceX96,liquidity,tick,timestamps,from_,to,cont
23396592,120994182530153953488,-23095270174982326641,-23095270174982326641,33489881146449710960551354732,690875059326157660661,-17223,1641457150,0x99b5637633352baDDBB6cEE9B7D65e84935623Dc,0x58503919C6Fec346C0379f8370467A2C29c09eB1,10
23396616,-127360892291969314790,25000000000000000000,25000000000000000000,3577735203473297659488962859066,4537018151257875887,76206,1641457202,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,10
23396617,95929018787076338483,-18845435134758435130,-18845435134758435130,34167004771632603764992753440,690875059326157660661,-16823,1641457204,0x99b5637633352baDDBB6cEE9B7D65e84935623Dc,0xCD7769DABE31e774b86B2fCC517E3C7049eE309a,10
23396620,16814558173363742720,-3063979999528126848,-3063979999528126848,33815633706682251232678060842,690875059326157660661,-17030,1641457210,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE35F0C92d65f06e3c0a63Baea8212AE38882CCA7,10
23396646,-101850925269621344590,20000000000000000000,20000000000000000000,36086257890615705996863060071,690875059326157660661,-15730,1641457262,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,10
23396646,80236837730367442663,-15659057099593368516,-15659057099593368516,34290508711427243195186396975,690875059326157660661,-16751,1641457262,0x99b5637633352baDDBB6cEE9B7D65e84935623Dc,0xCD7769DABE31e774b86B2fCC517E3C7049eE309a,10
23396676,24738245307075801088,-4518353106230092587,-4518353106230092587,33772353063217299032268573464,690875059326157660661,-17055,1641457326,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE35F0C92d65f06e3c0a63Baea8212AE38882CCA7,10
23396703,-102103911366750108917,20000000000000000000,20000000000000000000,36042977247150753796453572693,690875059326157660661,-15754,1641457380,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,10
23396703,97040693513770157910,-18699572214603676892,-18699572214603676892,33898547908782613428571824390,690875059326157660661,-16981,1641457380,0x99b5637633352baDDBB6cEE9B7D65e84935623Dc,0x58503919C6Fec346C0379f8370467A2C29c09eB1,10
23397824,18766523397449523200,-3362432824293359772,-3362432824293359772,33512950874050685573749411925,690875059326157660661,-17209,1641460061,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE35F0C92d65f06e3c0a63Baea8212AE38882CCA7,10
23399580,18641907805723639808,-3265216116324652335,-3265216116324652335,33138502455894320512575671155,690875059326157660661,-17434,1641464391,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE35F0C92d65f06e3c0a63Baea8212AE38882CCA7,10
23403415,-13504282355505380633,2406069474447250063,2406069474447250063,33411666432739519690772188117,690875059326157660661,-17270,1641473642,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE35F0C92d65f06e3c0a63Baea8212AE38882CCA7,10
23410208,-161545399001210457071,30769230769230769230,30769230769230769230,35425686158234007283075249937,1198305899944815833212,-16099,1641489939,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,10
23410836,114000000000000000000,-21652239108251978206,-21652239108251978206,33994109197004576592307021808,1198305899944815833212,-16924,1641491524,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x33A69d8f3B2D89b6704a7748104914ab02AC0642,10
