block_number,amount0,amountIn,amountOut,sqrtPriceX96,liquidity,tick,timestamps,from_,to,cont
26133510,-1768297934649397020,220201567757010237,220201567757010237,27820255373853339749817871701,4287171072172990648352,-20933,1647746071,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,1
26134365,15910033016136435138,-1939587687302186787,-1939587687302186787,27784411231897428764974156703,4287171072172990648352,-20959,1647747833,0x11431a89893025D2a48dCA4EddC396f8C8117187,0x11431a89893025D2a48dCA4EddC396f8C8117187,1
26134984,290821215109522610573,-34593536211980896902,-34593536211980896902,27145112668157885470925141681,4287171072172990648352,-21424,1647749111,0x521709B3Cd7F07e29722Be0Ba28a8Ce0e806Dbc3,0x521709B3Cd7F07e29722Be0Ba28a8Ce0e806Dbc3,1
26135674,-292488897649317930096,35511617967680267344,35511617967680267344,27794814998716196075272957692,4287171072172990648352,-20951,1647750787,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE35F0C92d65f06e3c0a63Baea8212AE38882CCA7,1
26137829,-14260963187235233690,1774962490625694330,1774962490625694330,27827288801173257923544689591,4287171072172990648352,-20928,1647755361,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,1
26138961,-20762590993433530546,2591602184620078127,2591602184620078127,27874703424206207361268872832,4287171072172990648352,-20894,1647757825,0x11431a89893025D2a48dCA4EddC396f8C8117187,0x11431a89893025D2a48dCA4EddC396f8C8117187,1
26141061,324761106302072389632,-38774856835879562236,-38774856835879562236,27158132844879337097704519784,4287171072172990648352,-21415,1647762413,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE35F0C92d65f06e3c0a63Baea8212AE38882CCA7,1
26141067,-10405979619976687281,1236089498126143922,1236089498126143922,27180747703724746912774147472,4287171072172990648352,-21398,1647762425,0x00000000000B69eC332f49b7c4d2b101f93c3bed,0x00000000000B69eC332f49b7c4d2b101f93c3bed,1
26141071,-41615902734092091361,4964053547045614354,4964053547045614354,27271567478860508252906735489,4287171072172990648352,-21331,1647762433,0x00000000000B69eC332f49b7c4d2b101f93c3bed,0x00000000000B69eC332f49b7c4d2b101f93c3bed,1
26143552,-89894035066557541285,10836839174517170913,10836839174517170913,27469832724729544255066187870,4287171072172990648352,-21186,1647767807,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE35F0C92d65f06e3c0a63Baea8212AE38882CCA7,1
26144251,-97127558894760436257,11887348863409148771,11887348863409148771,27687317556531510029995564152,4287171072172990648352,-21029,1647769373,0x521709B3Cd7F07e29722Be0Ba28a8Ce0e806Dbc3,0x521709B3Cd7F07e29722Be0Ba28a8Ce0e806Dbc3,1
