block_number,amount0,amountIn,amountOut,sqrtPriceX96,liquidity,tick,timestamps,from_,to,cont
27058266,143587605933175293,-124705700287282168002,-124705700287282168002,2197930135903436225339427275196,32132465158649453316,66462,1649789256,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0xd6aaB0F9aE043D3651Ad2d31c0ecCA310a9C0BEE,1
27058440,-140903139681369977,124705700287282168002,124705700287282168002,2502338820566548805312462438195,32132465158649453316,69056,1649789616,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,1
27078547,562400000000000000,-358960766421423767860,-358960766421423767860,1617258830660265960939377862493,32132465158649453316,60326,1649833204,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x7c129EC982B3966F919A3234Aeb627fB4CABa6bc,1
27119312,1126399999999999872,-271979404213617769110,-271979404213617769110,946646466150508793297246244340,32132465158649453316,49614,1649923482,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xD5164DE4940F8aDaD0162889F645F6Eb38d54804,1
