block_number,amount0,amountIn,amountOut,sqrtPriceX96,liquidity,tick,timestamps,from_,to,cont
22881334,62500000000000000000,-327936,-327936,5743422139863372698010,3098605670205438,-328813,1640292953,0x2EC255797FEF7669fA243509b7a599121148FFba,0x2EC255797FEF7669fA243509b7a599121148FFba,12
22881376,40309249559339124115,-210995,-210995,5738027191203534624987,3098605670205438,-328831,1640293041,0x2EC255797FEF7669fA243509b7a599121148FFba,0x2EC255797FEF7669fA243509b7a599121148FFba,12
22881974,31893750000000001638,-166664,-166664,5733765741211775346633,3098605670205438,-328846,1640294558,0x11431a89893025D2a48dCA4EddC396f8C8117187,0x11431a89893025D2a48dCA4EddC396f8C8117187,12
22881993,28435000000000000000,-148382,-148382,5729971762208676376220,3098605670205438,-328860,1640294618,0x11431a89893025D2a48dCA4EddC396f8C8117187,0x11431a89893025D2a48dCA4EddC396f8C8117187,12
22882208,23113598076743985160,-120468,-120468,5726891495961739513421,3098605670205438,-328870,1640295080,0x2EC255797FEF7669fA243509b7a599121148FFba,0x2EC255797FEF7669fA243509b7a599121148FFba,12
22882809,-15452878165005521199,81013,81013,5728956676284503961782,3098605670205438,-328863,1640296508,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,12
22882820,-37215497849666509761,195344,195344,5733936412620482315724,3098605670205438,-328846,1640296534,0x2EC255797FEF7669fA243509b7a599121148FFba,0x2EC255797FEF7669fA243509b7a599121148FFba,12
22883031,-23000857644302707322,120901,120901,5737018445402185457729,3098605670205438,-328835,1640296968,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,12
22883036,-19515816240128299756,102685,102685,5739636094509186078827,3098605670205438,-328826,1640296978,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,12
22883366,-5050097343257245218,26587,26587,5740313851257635573468,3098605670205438,-328824,1640297786,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,12
