pair,token0,token1,fees,block_number,timestamp
0x6baD0f9a89Ca403bb91d253D385CeC1A2b6eca97,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,3000,22757913,1640022872
0x0e44cEb592AcFC5D3F09D996302eB4C499ff8c10,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,3000,22762313,1640032080
0x45dDa9cb7c25131DF268515131f647d726f50608,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,500,22765962,1640039738
0xFE530931dA161232Ec76A7c3bEA7D36cF3811A0d,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,3000,22771167,1640051661
0x78Df0bfFFf7bc653b9a8b14Cd1C0E740d1407F42,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,0xf50D05A1402d0adAfA880D36050736f9f6ee7dee,3000,22797812,1640109304
0x0e226447ae42F91b338B25c7DD23D20E337F78a3,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,0xf50D05A1402d0adAfA880D36050736f9f6ee7dee,500,22797844,1640109372
0xF4BE3782A86A65E053EDDBBbF19A06E445B8dDf6,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xf50D05A1402d0adAfA880D36050736f9f6ee7dee,10000,22797886,1640109456
0x5f69C2ec01c22843f8273838d570243fd1963014,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,500,22797928,1640109544
0xBD934A7778771A7E2D9bf80596002a214D8C9304,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,10000,22798611,1640111082
0xBB98B3D2b18aeF63a3178023A920971cf5F29bE4,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,500,22798834,1640111540
0x4CcD010148379ea531D6C587CfDd60180196F9b1,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,3000,22798907,1640111710
0xc21b964AF2B0254580d44981d624335f2b7C6fB6,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,10000,22798941,1640111782
0xe30e4dfdBb10949c27501922F845e20Cfa579F09,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0xf50D05A1402d0adAfA880D36050736f9f6ee7dee,10000,22799300,1640112534
